"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\App.css", "CSS", 0, 0, 37, 0, 0, 6, 43
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\App.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 8, 115
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\charts\BarChartComponent.tsx", "TypeScript JSX", 0, 90, 0, 0, 11, 6, 107
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\charts\LineChartComponent.tsx", "TypeScript JSX", 0, 101, 0, 0, 0, 6, 107
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\charts\PieChartComponent.tsx", "TypeScript JSX", 0, 176, 0, 0, 1, 14, 191
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\charts\chartsContainer\ChartItem.tsx", "TypeScript JSX", 0, 109, 0, 0, 13, 5, 127
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\charts\customToolTip\CustomTooltip.module.css", "CSS", 0, 0, 63, 0, 2, 8, 73
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\charts\customToolTip\CustomTooltip.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 5, 23
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\creation\ChartInput.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 2, 35
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\creation\CustomizableChart .tsx", "TypeScript JSX", 0, 0, 0, 0, 90, 8, 98
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\creation\CustomizeColor.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 4, 63
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\creation\FieldsInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 3, 38
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\creation\OrientationInput.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 5, 35
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\creation\creationContainer\ChartCreation.tsx", "TypeScript JSX", 0, 124, 0, 0, 2, 12, 138
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\components\layout\ChartLayout.tsx", "TypeScript JSX", 0, 44, 0, 0, 3, 6, 53
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\data\data.ts", "TypeScript", 45, 0, 0, 0, 0, 2, 47
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\data\data.types.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\features\chartsSlice.ts", "TypeScript", 46, 0, 0, 0, 0, 4, 50
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\features\currentChartSlice.ts", "TypeScript", 92, 0, 0, 0, 16, 12, 120
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\index.css", "CSS", 0, 0, 61, 0, 0, 8, 69
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\main.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 2, 15
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\store\hooks.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\store\store.ts", "TypeScript", 11, 0, 0, 0, 0, 2, 13
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\types\chartTypes.ts", "TypeScript", 43, 0, 0, 0, 30, 13, 86
"c:\Users\Mohse\OneDrive\Desktop\my-react-app\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 247, 845, 161, 1, 263, 144, 1661